# Images of the six Steane stabilizer generators under the standard H/P/CNOT Clifford generating gates.
gate,gate_kind,source,image_sign,image,signed_image,image_list_rank,image_list_isotropic
CNOT6_7,CNOT,X2,1,1100111|0000000,+1100111|0000000,6,true
CNOT6_7,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT6_7,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT6_7,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT6_7,CNOT,Z3,1,0000000|1010111,+0000000|1010111,6,true
CNOT7_1,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT7_1,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT7_1,CNOT,X3,1,0010101|0000000,+0010101|0000000,6,true
CNOT7_1,CNOT,Z1,1,0000000|1111001,+0000000|1111001,6,true
CNOT7_1,CNOT,Z2,1,0000000|1100111,+0000000|1100111,6,true
CNOT7_1,CNOT,Z3,1,0000000|1010100,+0000000|1010100,6,true
CNOT7_2,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT7_2,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT7_2,CNOT,X3,1,1110101|0000000,+1110101|0000000,6,true
CNOT7_2,CNOT,Z1,1,0000000|1111001,+0000000|1111001,6,true
CNOT7_2,CNOT,Z2,1,0000000|1100111,+0000000|1100111,6,true
CNOT7_2,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT7_3,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT7_3,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT7_3,CNOT,X3,1,1000101|0000000,+1000101|0000000,6,true
CNOT7_3,CNOT,Z1,1,0000000|1111001,+0000000|1111001,6,true
CNOT7_3,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT7_3,CNOT,Z3,1,0000000|1010100,+0000000|1010100,6,true
CNOT7_4,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT7_4,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT7_4,CNOT,X3,1,1011101|0000000,+1011101|0000000,6,true
CNOT7_4,CNOT,Z1,1,0000000|1111001,+0000000|1111001,6,true
CNOT7_4,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT7_4,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT7_5,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT7_5,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT7_5,CNOT,X3,1,1010001|0000000,+1010001|0000000,6,true
CNOT7_5,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT7_5,CNOT,Z2,1,0000000|1100111,+0000000|1100111,6,true
CNOT7_5,CNOT,Z3,1,0000000|1010100,+0000000|1010100,6,true
CNOT7_6,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT7_6,CNOT,X2,1,1100110|0000000,+1100110|0000000,6,true
CNOT7_6,CNOT,X3,1,1010111|0000000,+1010111|0000000,6,true
CNOT7_6,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT7_6,CNOT,Z2,1,0000000|1100111,+0000000|1100111,6,true
CNOT7_6,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
